,name,date,month_edits
11,Malware,200206,1
12,Malware,200207,0
13,Malware,200208,0
14,Malware,200209,0
15,Malware,200210,0
16,Malware,200211,0
17,Malware,200212,0
18,Malware,200301,1
19,Malware,200302,0
20,Malware,200303,0
21,Malware,200304,0
22,Malware,200305,0
23,Malware,200306,0
24,Malware,200307,0
25,Malware,200308,0
26,Malware,200309,0
27,Malware,200310,0
28,Malware,200311,1
29,Malware,200312,0
30,Malware,200401,1
31,Malware,200402,2
32,Malware,200403,2
33,Malware,200404,1
34,Malware,200405,1
35,Malware,200406,1
36,Malware,200407,4
37,Malware,200408,5
38,Malware,200409,3
39,Malware,200410,12
40,Malware,200411,10
41,Malware,200412,4
42,Malware,200501,7
43,Malware,200502,7
44,Malware,200503,4
45,Malware,200504,29
46,Malware,200505,19
47,Malware,200506,14
48,Malware,200507,16
49,Malware,200508,13
50,Malware,200509,14
51,Malware,200510,7
52,Malware,200511,40
53,Malware,200512,37
54,Malware,200601,37
55,Malware,200602,34
56,Malware,200603,18
57,Malware,200604,39
58,Malware,200605,14
59,Malware,200606,32
60,Malware,200607,16
61,Malware,200608,16
62,Malware,200609,49
63,Malware,200610,19
64,Malware,200611,27
65,Malware,200612,25
66,Malware,200701,20
67,Malware,200702,30
68,Malware,200703,29
69,Malware,200704,15
70,Malware,200705,8
71,Malware,200706,16
72,Malware,200707,5
73,Malware,200708,13
74,Malware,200709,8
75,Malware,200710,20
76,Malware,200711,33
77,Malware,200712,24
78,Malware,200801,20
79,Malware,200802,21
80,Malware,200803,26
81,Malware,200804,30
82,Malware,200805,33
83,Malware,200806,20
84,Malware,200807,11
85,Malware,200808,21
86,Malware,200809,12
87,Malware,200810,23
88,Malware,200811,29
89,Malware,200812,37
90,Malware,200901,18
91,Malware,200902,33
92,Malware,200903,58
93,Malware,200904,63
94,Malware,200905,26
95,Malware,200906,23
96,Malware,200907,23
97,Malware,200908,19
98,Malware,200909,30
99,Malware,200910,55
100,Malware,200911,25
101,Malware,200912,23
102,Malware,201001,33
103,Malware,201002,26
104,Malware,201003,15
105,Malware,201004,47
106,Malware,201005,13
107,Malware,201006,24
108,Malware,201007,23
109,Malware,201008,19
110,Malware,201009,17
111,Malware,201010,39
112,Malware,201011,31
113,Malware,201012,37
114,Malware,201101,23
115,Malware,201102,34
116,Malware,201103,30
117,Malware,201104,21
118,Malware,201105,28
