date,hits,keyword,geo,gprop,category
2015-08-01,21,OSI model,world,web,0
2015-09-01,28,OSI model,world,web,0
2015-10-01,27,OSI model,world,web,0
2015-11-01,24,OSI model,world,web,0
2015-12-01,24,OSI model,world,web,0
2016-01-01,20,OSI model,world,web,0
2016-02-01,24,OSI model,world,web,0
2016-03-01,22,OSI model,world,web,0
2016-04-01,21,OSI model,world,web,0
2016-05-01,19,OSI model,world,web,0
2016-06-01,20,OSI model,world,web,0
2016-07-01,16,OSI model,world,web,0
2016-08-01,19,OSI model,world,web,0
2016-09-01,23,OSI model,world,web,0
2016-10-01,21,OSI model,world,web,0
2016-11-01,21,OSI model,world,web,0
2016-12-01,18,OSI model,world,web,0
2017-01-01,22,OSI model,world,web,0
2017-02-01,22,OSI model,world,web,0
2017-03-01,21,OSI model,world,web,0
2017-04-01,20,OSI model,world,web,0
2017-05-01,19,OSI model,world,web,0
2017-06-01,17,OSI model,world,web,0
2017-07-01,17,OSI model,world,web,0
2017-08-01,20,OSI model,world,web,0
2017-09-01,23,OSI model,world,web,0
2017-10-01,24,OSI model,world,web,0
2017-11-01,23,OSI model,world,web,0
2017-12-01,20,OSI model,world,web,0
2018-01-01,20,OSI model,world,web,0
2018-02-01,23,OSI model,world,web,0
2018-03-01,22,OSI model,world,web,0
2018-04-01,21,OSI model,world,web,0
2018-05-01,22,OSI model,world,web,0
2018-06-01,17,OSI model,world,web,0
2018-07-01,17,OSI model,world,web,0
2018-08-01,19,OSI model,world,web,0
2018-09-01,22,OSI model,world,web,0
2018-10-01,23,OSI model,world,web,0
2018-11-01,19,OSI model,world,web,0
2004-01-01,87,Algorithm,world,web,0
2004-02-01,99,Algorithm,world,web,0
2004-03-01,97,Algorithm,world,web,0
2004-04-01,100,Algorithm,world,web,0
2004-05-01,88,Algorithm,world,web,0
2004-06-01,77,Algorithm,world,web,0
2004-07-01,74,Algorithm,world,web,0
2004-08-01,69,Algorithm,world,web,0
2004-09-01,79,Algorithm,world,web,0
2004-10-01,90,Algorithm,world,web,0
2004-11-01,83,Algorithm,world,web,0
2004-12-01,73,Algorithm,world,web,0
2005-01-01,69,Algorithm,world,web,0
2005-02-01,72,Algorithm,world,web,0
2005-03-01,76,Algorithm,world,web,0
2005-04-01,77,Algorithm,world,web,0
2005-05-01,69,Algorithm,world,web,0
2005-06-01,58,Algorithm,world,web,0
2005-07-01,53,Algorithm,world,web,0
2005-08-01,51,Algorithm,world,web,0
2005-09-01,56,Algorithm,world,web,0
2005-10-01,63,Algorithm,world,web,0
2005-11-01,63,Algorithm,world,web,0
2005-12-01,55,Algorithm,world,web,0
2006-01-01,49,Algorithm,world,web,0
2006-02-01,55,Algorithm,world,web,0
2006-03-01,56,Algorithm,world,web,0
2006-04-01,56,Algorithm,world,web,0
2006-05-01,51,Algorithm,world,web,0
2006-06-01,42,Algorithm,world,web,0
2006-07-01,36,Algorithm,world,web,0
2006-08-01,38,Algorithm,world,web,0
2006-09-01,41,Algorithm,world,web,0
2006-10-01,46,Algorithm,world,web,0
2006-11-01,47,Algorithm,world,web,0
2006-12-01,39,Algorithm,world,web,0
2007-01-01,38,Algorithm,world,web,0
2007-02-01,39,Algorithm,world,web,0
2007-03-01,41,Algorithm,world,web,0
2007-04-01,42,Algorithm,world,web,0
2007-05-01,44,Algorithm,world,web,0
2007-06-01,37,Algorithm,world,web,0
2007-07-01,34,Algorithm,world,web,0
2007-08-01,32,Algorithm,world,web,0
2007-09-01,34,Algorithm,world,web,0
2007-10-01,38,Algorithm,world,web,0
2007-11-01,39,Algorithm,world,web,0
2007-12-01,35,Algorithm,world,web,0
2008-01-01,33,Algorithm,world,web,0
2008-02-01,33,Algorithm,world,web,0
2008-03-01,34,Algorithm,world,web,0
2008-04-01,35,Algorithm,world,web,0
2008-05-01,31,Algorithm,world,web,0
2008-06-01,28,Algorithm,world,web,0
2008-07-01,26,Algorithm,world,web,0
2008-08-01,25,Algorithm,world,web,0
2008-09-01,31,Algorithm,world,web,0
2008-10-01,31,Algorithm,world,web,0
2008-11-01,33,Algorithm,world,web,0
2008-12-01,29,Algorithm,world,web,0
2009-01-01,28,Algorithm,world,web,0
2009-02-01,31,Algorithm,world,web,0
2009-03-01,33,Algorithm,world,web,0
2009-04-01,34,Algorithm,world,web,0
2009-05-01,31,Algorithm,world,web,0
2009-06-01,28,Algorithm,world,web,0
2009-07-01,26,Algorithm,world,web,0
2009-08-01,26,Algorithm,world,web,0
2009-09-01,30,Algorithm,world,web,0
2009-10-01,33,Algorithm,world,web,0
2009-11-01,34,Algorithm,world,web,0
2009-12-01,30,Algorithm,world,web,0
2010-01-01,28,Algorithm,world,web,0
2010-02-01,31,Algorithm,world,web,0
2010-03-01,33,Algorithm,world,web,0
2010-04-01,33,Algorithm,world,web,0
2010-05-01,30,Algorithm,world,web,0
2010-06-01,26,Algorithm,world,web,0
2010-07-01,23,Algorithm,world,web,0
2010-08-01,25,Algorithm,world,web,0
2010-09-01,27,Algorithm,world,web,0
2010-10-01,31,Algorithm,world,web,0
2010-11-01,30,Algorithm,world,web,0
2010-12-01,26,Algorithm,world,web,0
2011-01-01,27,Algorithm,world,web,0
2011-02-01,28,Algorithm,world,web,0
2011-03-01,31,Algorithm,world,web,0
2011-04-01,30,Algorithm,world,web,0
2011-05-01,28,Algorithm,world,web,0
2011-06-01,25,Algorithm,world,web,0
2011-07-01,23,Algorithm,world,web,0
2011-08-01,24,Algorithm,world,web,0
2011-09-01,27,Algorithm,world,web,0
2011-10-01,29,Algorithm,world,web,0
2011-11-01,31,Algorithm,world,web,0
2011-12-01,27,Algorithm,world,web,0
2012-01-01,25,Algorithm,world,web,0
2012-02-01,29,Algorithm,world,web,0
2012-03-01,30,Algorithm,world,web,0
2012-04-01,30,Algorithm,world,web,0
2012-05-01,27,Algorithm,world,web,0
2012-06-01,24,Algorithm,world,web,0
2012-07-01,23,Algorithm,world,web,0
2012-08-01,24,Algorithm,world,web,0
2012-09-01,28,Algorithm,world,web,0
2012-10-01,31,Algorithm,world,web,0
2012-11-01,29,Algorithm,world,web,0
2012-12-01,26,Algorithm,world,web,0
2013-01-01,25,Algorithm,world,web,0
2013-02-01,28,Algorithm,world,web,0
2013-03-01,29,Algorithm,world,web,0
2013-04-01,30,Algorithm,world,web,0
2013-05-01,27,Algorithm,world,web,0
2013-06-01,23,Algorithm,world,web,0
2013-07-01,23,Algorithm,world,web,0
2013-08-01,23,Algorithm,world,web,0
2013-09-01,28,Algorithm,world,web,0
2013-10-01,31,Algorithm,world,web,0
2013-11-01,30,Algorithm,world,web,0
2013-12-01,26,Algorithm,world,web,0
2014-01-01,26,Algorithm,world,web,0
2014-02-01,29,Algorithm,world,web,0
2014-03-01,29,Algorithm,world,web,0
2014-04-01,30,Algorithm,world,web,0
2014-05-01,28,Algorithm,world,web,0
2014-06-01,23,Algorithm,world,web,0
2014-07-01,22,Algorithm,world,web,0
2014-08-01,24,Algorithm,world,web,0
2014-09-01,29,Algorithm,world,web,0
2014-10-01,30,Algorithm,world,web,0
2014-11-01,31,Algorithm,world,web,0
2014-12-01,27,Algorithm,world,web,0
2015-01-01,26,Algorithm,world,web,0
2015-02-01,29,Algorithm,world,web,0
2015-03-01,31,Algorithm,world,web,0
2015-04-01,33,Algorithm,world,web,0
2015-05-01,28,Algorithm,world,web,0
2015-06-01,25,Algorithm,world,web,0
2015-07-01,23,Algorithm,world,web,0
2015-08-01,24,Algorithm,world,web,0
2015-09-01,29,Algorithm,world,web,0
2015-10-01,32,Algorithm,world,web,0
2015-11-01,32,Algorithm,world,web,0
2015-12-01,28,Algorithm,world,web,0
2016-01-01,26,Algorithm,world,web,0
2016-02-01,32,Algorithm,world,web,0
2016-03-01,34,Algorithm,world,web,0
2016-04-01,33,Algorithm,world,web,0
2016-05-01,31,Algorithm,world,web,0
2016-06-01,26,Algorithm,world,web,0
2016-07-01,22,Algorithm,world,web,0
2016-08-01,24,Algorithm,world,web,0
2016-09-01,29,Algorithm,world,web,0
2016-10-01,32,Algorithm,world,web,0
2016-11-01,34,Algorithm,world,web,0
2016-12-01,31,Algorithm,world,web,0
2017-01-01,29,Algorithm,world,web,0
2017-02-01,34,Algorithm,world,web,0
2017-03-01,35,Algorithm,world,web,0
2017-04-01,35,Algorithm,world,web,0
2017-05-01,31,Algorithm,world,web,0
2017-06-01,25,Algorithm,world,web,0
2017-07-01,24,Algorithm,world,web,0
2017-08-01,26,Algorithm,world,web,0
2017-09-01,31,Algorithm,world,web,0
2017-10-01,34,Algorithm,world,web,0
2017-11-01,36,Algorithm,world,web,0
2017-12-01,32,Algorithm,world,web,0
2018-01-01,30,Algorithm,world,web,0
2018-02-01,34,Algorithm,world,web,0
2018-03-01,35,Algorithm,world,web,0
2018-04-01,35,Algorithm,world,web,0
2018-05-01,31,Algorithm,world,web,0
2018-06-01,25,Algorithm,world,web,0
2018-07-01,25,Algorithm,world,web,0
2018-08-01,27,Algorithm,world,web,0
2018-09-01,31,Algorithm,world,web,0
2018-10-01,33,Algorithm,world,web,0
2018-11-01,30,Algorithm,world,web,0
2004-01-01,76,Intelligent environment,world,web,0
2004-02-01,57,Intelligent environment,world,web,0
2004-03-01,93,Intelligent environment,world,web,0
2004-04-01,73,Intelligent environment,world,web,0
2004-05-01,31,Intelligent environment,world,web,0
